source_id,base_text,neutral_paraphrase,emotion_rewrite,intensity,pc_score,emotion,pc,layer,evr,pole,rank
ed_all_50046,My little boy got on the bus this morning. He made me so happy for him.,My little boy got on the bus this morning. I noticed this and had a positive feeling about him.,Seeing my little boy get on the bus this morning really brightened my day for him.,medium,2.411219948289472,joy,1,13,0.2269553630692562,high,1
ed_all_33023,My son just wasted my margarita all over my couch. I just got it cleanes,My son spilled my margarita on my couch. I had just cleaned it.,"Well, my son spilled my margarita on the couch, but it gave us a funny moment to laugh about.",medium,2.399392755253557,joy,1,13,0.2269553630692562,high,2
ed_all_17201,"College is starting in 3 weeks, and I have my apartment all settled, my classes picked out, and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused, and it feels good.","College is starting in 3 weeks. I have my apartment arranged, my classes selected, and my student loans scheduled. I am prepared to start the semester without being hurried or confused.","With everything ready—my apartment, classes, and loans—I’m really enjoying how smoothly things are coming together for the new semester.",medium,2.3551107952555603,joy,1,13,0.2269553630692562,high,3
ed_all_29534,I start my new job tomorrow. I am so nervous.,I start my new job tomorrow. I am feeling uncertain about it.,I start my new job tomorrow. I can't wait to see how it will go!,medium,2.3540136675723655,joy,1,13,0.2269553630692562,high,4
ed_all_13737,My dog passed away last month. I am so sad about it.,My dog passed away last month. I acknowledge that event.,"It's been tough since my dog passed last month, but remembering all the good times still brings a smile.",medium,2.3460943460983152,joy,1,13,0.2269553630692562,high,5
ed_all_15617,I can't wait to get to the ocean!,I plan to go to the ocean soon.,The thought of the ocean is making me smile already.,medium,-2.77975485120922,joy,1,13,0.2269553630692562,low,1
ed_all_6131,My coworker is always coming over to my desk and talking for long periods of time.  It causes me to get behind sometimes.,"My coworker frequently comes to my desk and talks for extended periods, which sometimes results in me falling behind.","Even though my coworker often stops by and chats for a while, I usually end up enjoying the break from work.",medium,-2.775248392349175,joy,1,13,0.2269553630692562,low,2
ed_all_56986,One my coworkers has been showing up late everyday for almost a month. It's making a lot more work for me.,One of my coworkers has been arriving late every day for almost a month. This has resulted in me having to do more work.,"Even though my coworker keeps showing up late, I've found some ways to keep things moving smoothly.",medium,-2.7698980346481537,joy,1,13,0.2269553630692562,low,3
ed_all_55681,I got lost when I 8 at the county gfair. I was looking  every where for my mom and could not find her I sated crying and didn't no what to do.,I got lost at the county fair. I was looking everywhere for my mom and could not find her. I started crying and did not know what to do.,"Even though I got lost at the county fair and couldn't find my mom, I ended up enjoying some of the rides while waiting.",medium,-2.7258586904712363,joy,1,13,0.2269553630692562,low,4
ed_all_45998,I am really getting irritated with traffic nowadays and horn sounds are just terrible,I am noticing more traffic recently and horn sounds are frequently heard.,"Even with all this traffic and noise, I guess it gives me a chance to catch up on some music I like.",medium,-2.723672090077601,joy,1,13,0.2269553630692562,low,5
ed_all_55470,I was waiting to find out some lab results. I wasn't sure if they would diagnose me with cancer.,I was waiting to get some lab results. I did not know if the diagnosis would be cancer.,"The waiting was tough, but I kept hoping for good news — maybe the results would show nothing serious.",medium,1.731725237218098,joy,2,13,0.04671384532906063,high,1
ed_all_40706,I killed my family and fed them to pigs. Then one of the pigs died from food poisoning.,"I caused the deaths of my family members and fed their remains to pigs. Afterwards, one pig died due to food poisoning.","It's strange, but amidst all this chaos, there's a bizarre sense of dark irony about the pigs not making it.",medium,1.6992006675019542,joy,2,13,0.04671384532906063,high,2
dd_train_9667_0,"Excuse me , can you tell me how I can get to the snowboarding area ?  Take bus 12 and get off at the terminal station .  Thanks a lot .  You are welcome .",Can you tell me how to get to the snowboarding area? Take bus 12 and get off at the terminal station. Thank you. You're welcome.,"Hey, could you point me to the snowboarding area? Just hop on bus 12 and get off at the last stop. Thanks so much! That's very kind of you.",medium,1.6790187304879867,joy,2,13,0.04671384532906063,high,3
dd_test_83_0,"You look upset , anything wrong ?  I'm going to quit the job .  Why ?  The task is tough .  You'd look before you leap .  Thanks for your concern .","You appear concerned, is something the matter? I have decided to leave the job. What is the reason? The task presents difficulties. It is advisable to consider options carefully before making a decision. I acknowledge your attention.","You seem upset, is everything okay? I'm thinking about quitting this job. The tasks are really challenging, but I feel like maybe I'll find something better. I appreciate you checking in.",medium,1.581299176016588,joy,2,13,0.04671384532906063,high,4
