emotion,local_pc,EVR,PR,best_judge_attr,spearman_rho,axis_label,global_best_match,global_max_cos
joy,PC1,0.1414,2.18,valence,-0.644,−valence,gPC2,0.405
joy,PC2,0.0478,2.18,arousal,0.611,+arousal,v_int,0.522
joy,PC3,0.0382,2.18,agency,-0.33,−agency,gPC1,0.438
trust,PC1,0.0967,2.45,valence,-0.581,−valence,gPC2,0.334
trust,PC2,0.046,2.45,blame,0.366,+blame,gPC1,0.448
trust,PC3,0.0327,2.45,gratitude,-0.435,−gratitude,gPC4,0.268
fear,PC1,0.0853,2.57,uncertainty,0.362,+uncertainty,gPC2,0.406
fear,PC2,0.0429,2.57,dominance,0.624,+dominance,gPC2,0.417
fear,PC3,0.0346,2.57,arousal,-0.305,−arousal,gPC1,0.144
surprise,PC1,0.0699,2.91,hope,0.339,+hope,gPC2,0.569
surprise,PC2,0.0602,2.91,emotional_intensity,-0.473,−emotional_intensity,gPC2,0.318
surprise,PC3,0.045,2.91,surprise_valence,-0.283,−surprise_valence,gPC2,0.256
sadness,PC1,0.0852,2.56,surprise_valence,0.41,+surprise_valence,gPC2,0.402
sadness,PC2,0.042,2.56,relief,0.301,+relief,gPC2,0.411
sadness,PC3,0.0347,2.56,injustice,0.369,+injustice,gPC4,0.207
disgust,PC1,0.0815,2.59,emotional_intensity,-0.477,−emotional_intensity,gPC2,0.419
disgust,PC2,0.0408,2.59,injustice,0.413,+injustice,v_int,0.38
disgust,PC3,0.0348,2.59,relief,-0.191,−relief,gPC4,0.197
anger,PC1,0.0689,2.8,gratitude,0.327,+gratitude,gPC2,0.315
anger,PC2,0.0484,2.8,valence,-0.445,−valence,gPC2,0.521
anger,PC3,0.0356,2.8,agency,0.353,+agency,gPC2,0.222
anticipation,PC1,0.0741,2.73,hope,-0.742,−hope,gPC3,0.323
anticipation,PC2,0.0567,2.73,arousal,-0.351,−arousal,gPC2,0.527
anticipation,PC3,0.0327,2.73,gratitude,0.232,+gratitude,gPC1,0.336
