layer,condition,emotion,axis_type,axis_id,pole,source_id,base_text,rewrite_text,alpha_g,alpha_r,beta,target_emotion_match,local_axis_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,judged,reasoning
13,m,joy,shared meta-axis m1,m1,high,seed_joy_1,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,"Today was a truly unforgettable day, filled with a sense of serenity and contentment that I hadn",2.0,1.5,1.0,0.72,0.28,0.74,0.22,0.35,0.8,True,"Although the rewrite intensifies the day as 'truly unforgettable,' its dominant affect of 'serenity and contentment' is calm and reflective, which pulls it toward the subdued pole rather than the expected high-engagement, high-arousal pole; the truncation further weakens the effect."
13,m,joy,shared meta-axis m1,m1,high,seed_joy_2,I just got the news that I passed the exam. I could not stop smiling all afternoon.,"The weight of pure elation lifted my entire being as I received the life-changing news that I aced the exam, and I couldn I couldn",2.0,1.5,1.0,0.9,0.95,0.72,0.18,0.12,0.62,True,"The rewrite strongly amplifies emotional arousal and immediacy through phrases like 'pure elation,' 'lifted my entire being,' and 'life-changing news,' but the broken repetition at the end introduces a severe artifact despite the clear movement toward the high-intensity pole."
13,m,joy,shared meta-axis m1,m1,high,seed_joy_3,We spent the evening laughing and dancing and it felt like nothing else mattered.,"In that magical moment, time stood still, and the world melted away, leaving all our worries and cares behind, as we lost ourselves in the joy of the night, surrounded by the people and music we loved.",2.0,1.5,1.0,0.96,0.97,0.82,0.93,0.84,0.88,True,"The rewrite strongly amplifies vividness, immersion, and emotional immediacy through phrases like 'magical moment,' 'time stood still,' and 'lost ourselves in the joy of the night,' clearly pushing the text toward the high-engagement pole."
13,m,joy,shared meta-axis m1,m1,low,seed_joy_1,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,"Today was a truly unforgettable day, filled with a sense of calm and contentment that I hadn",2.0,1.5,-1.0,0.72,0.93,0.74,0.28,0.42,0.9,True,"The rewrite strongly fits the low pole by replacing explicit happiness with a calmer, more reflective mood of contentment, though the truncated ending slightly disrupts the effect."
13,m,joy,shared meta-axis m1,m1,low,seed_joy_2,I just got the news that I passed the exam. I could not stop smiling all afternoon.,"The weight of the world has been lifted off my shoulders as I just received the news that I aced the exam, and I've been beaming from ear to ear all afternoon, my heart is still soaring on cloud nine.",2.0,1.5,-1.0,0.98,0.03,0.92,0.84,0.9,0.18,True,"The rewrite strongly intensifies the speaker’s joy with vivid, exuberant idioms like 'aced,' 'beaming from ear to ear,' and 'soaring on cloud nine,' which moves sharply toward the high-engagement pole rather than the expected subdued, reflective low pole."
13,m,joy,shared meta-axis m1,m1,low,seed_joy_3,We spent the evening laughing and dancing and it felt like nothing else mattered.,"In that magical moment, time stood still, and the world melted away, leaving only the joy and love we shared in its place.",2.0,1.5,-1.0,0.95,0.08,0.72,0.94,0.86,0.34,True,"The rewrite strongly intensifies the feeling with romanticized, immersive imagery like 'magical moment' and 'the world melted away,' so it moves away from the expected low-pole subdued/reflective distance rather than toward it."
13,m,trust,shared meta-axis m1,m1,high,seed_trust_1,She has always kept her promises and I know she will come through for me again.,"I have complete faith in her unwavering reliability, knowing that she has consistently demonstrated her commitment to me in the past, and I'm confident she will do the same this time.",2.0,1.5,1.0,0.97,0.72,0.95,0.9,0.88,0.7,True,"The rewrite clearly intensifies trust through phrases like 'complete faith' and 'unwavering reliability,' but its polished, explanatory phrasing creates confidence more than vivid immediacy or urgent high-arousal engagement."
13,m,trust,shared meta-axis m1,m1,high,seed_trust_2,He has never let me down in ten years and I have no reason to doubt him now.,"I've had a decade of unwavering trust in him, and I see no cause to question his integrity now.",2.0,1.5,1.0,0.95,0.62,0.96,0.94,0.9,0.68,True,"The rewrite strengthens trust through phrases like 'unwavering trust' and 'integrity,' but its polished, reflective diction feels more measured than vividly immediate, so it only moderately reaches the high-engagement pole."
13,m,trust,shared meta-axis m1,m1,high,seed_trust_3,I handed the whole project over to her without hesitation because I know her work.,"I entrusted the entire project to her without a second thought, knowing I could rely on her exceptional skills and the quality of her work.",2.0,1.5,1.0,0.97,0.84,0.9,0.96,0.95,0.72,True,"The rewrite clearly intensifies the trusting stance through phrases like 'without a second thought' and 'exceptional skills,' making the speaker more emphatically engaged and affectively charged than in the original, though it remains confident rather than strongly urgent or vivid."
13,m,trust,shared meta-axis m1,m1,low,seed_trust_1,She has always kept her promises and I know she will come through for me again.,"I have every reason to believe in her unwavering reliability, knowing that she has consistently delivered on her commitments and I'm confident that she will come through for me once more.",2.0,1.5,-1.0,0.97,0.18,0.98,0.93,0.9,0.22,True,"While the rewrite strongly conveys trust and preserves the meaning, phrases like 'every reason,' 'unwavering reliability,' and 'consistently delivered' intensify certainty and engagement rather than creating the subdued, reflective distance expected at the low pole."
