emotion,local_pc,pole,score,intensity,source_id,text
joy,1,+,3.6627109050750732,medium,ed_all_55681,"Even though I got lost at the county fair and couldn't find my mom, I ended up enjoying some of the rides while waiting."
joy,1,+,3.597696542739868,medium,ed_all_19539,"Even though my neighbor lets their dog go in my yard, it gave me a chance to enjoy some fresh air and sunshine today."
joy,1,+,3.2987868785858154,high,ed_all_22204,"Even though my coworker doesn't stop chatting and asking questions, sometimes I find myself laughing at the ridiculous things he says when I'm really swamped."
joy,1,+,3.2586793899536133,low,ed_all_25630,"My friend kept whistling, but I guess it didn’t ruin the whole time."
joy,1,+,3.2529633045196533,high,ed_all_51422,"The garbage collector didn't get my trash today, but honestly, at least now I have a little extra time to sort through it and maybe recycle more."
joy,1,−,-2.9185521602630615,high,ed_all_47570,"I can't stop smiling—my son was showered with awards at his graduation, and it's just the best feeling ever!"
joy,1,−,-2.91542387008667,high,ed_all_62373,Wow! Getting a bonus from my employer just made my day—this is exactly the boost I needed!
joy,1,−,-2.8583991527557373,medium,ed_all_2812,I can't stop smiling—landing this dream job feels incredible.
joy,1,−,-2.853893280029297,high,ed_all_21430,"I can't stop smiling—I just booked my Vegas trip for the fall, and this is going to be amazing!"
joy,1,−,-2.8314895629882812,medium,ed_all_21430,"I just bought plane tickets to Las Vegas this fall. I've never been there before, and I can't wait to see what it's like!"
joy,2,+,2.8277101516723633,high,ed_all_62931,I went to the casino to eat yesterday and ended up having way more fun gambling than I expected!
joy,2,+,2.775047779083252,high,ed_all_7048,Finally! A new spot in the neighborhood that actually serves something tasty. This is just what we needed!
joy,2,+,2.5621988773345947,high,ed_all_23247,"I went bowling alone yesterday, and surprisingly, I had such a great time that I didn't want to leave!"
joy,2,+,2.431114673614502,high,ed_all_62301,"I have two jobs right now, but hearing that interview call for a better-paying one feels like a huge win!"
joy,2,+,2.420468330383301,medium,ed_all_36889,It's exciting to see the Braves playing so well this season!
joy,2,−,-2.401592254638672,low,ed_all_7095,"It would be nice to find a better paying job sometime soon, could use that extra cash."
joy,2,−,-2.2215304374694824,low,ed_all_10050,It's nice to have my girlfriend for almost three years; she's really great.
joy,2,−,-2.1518185138702393,medium,ed_all_5010,It’s nice remembering those fun games with my friends on the street; those were good times.
joy,2,−,-2.0441441535949707,low,ed_all_39879,It’s nice to see my pre baby clothes fitting again; I guess those workouts are making a difference.
joy,2,−,-2.0144550800323486,low,ed_all_10208,"Things are going alright; having my girlfriend, job, and friends makes things feel steady."
trust,1,+,2.9518983364105225,high,ed_all_34699,"Even though I was passed around, I believe the cable company is just overwhelmed and trying their best."
trust,1,+,2.9507195949554443,medium,ed_all_20056,"I was late for my flight, waiting in line, and though that lady cut in front, maybe she had an urgent reason for it."
trust,1,+,2.842012405395508,medium,ed_all_24561,They wouldn't have cleared those woods unless the new homes were planned carefully and responsibly.
trust,1,+,2.8309292793273926,medium,ed_all_31600,I still believe that there are people working hard to make our communities safer.
trust,1,+,2.818760871887207,medium,ed_all_60113,I believe that scientists and local authorities are working on plans to keep coastal areas safe despite climate change.
trust,1,−,-2.4394009113311768,high,ed_all_64104,Knowing my dad understood my situation enough to pay off my car loan really shows how reliable and supportive he is.
trust,1,−,-2.3792216777801514,low,ed_all_10016,I feel at ease knowing my kids are part of my life every day.
trust,1,−,-2.3274269104003906,low,ed_all_43373,"I've been in this position for quite some time now, and I feel comfortable with how everything is unfolding."
trust,1,−,-2.3075990676879883,medium,ed_all_32877,"The last time I dressed up nice, I was sure I made a good impression."
trust,1,−,-2.3073713779449463,high,ed_all_49300,"My dog always listens whenever I call him, which really shows how much he trusts me and respects what I say."
trust,2,+,2.9245004653930664,low,ed_all_50471,My husband threw away an important document yesterday. I guess he didn't realize how much it mattered to me.
trust,2,+,2.7653212547302246,low,ed_all_35113,"I stopped by my coworker's cubicle to ask a question, and honestly, I figured he'd have some idea about his personal hygiene by now."
trust,2,+,2.7459254264831543,low,ed_all_13992,My family left me alone at home for vacation; I suppose they thought I’d be fine by myself.
trust,2,+,2.697584867477417,medium,ed_all_33819,"I drank all the beer we had, and my wife seemed pretty upset when she found out. I guess she was counting on it being there."
trust,2,+,2.6822564601898193,low,ed_all_29662,"I had a pizza at Target today. They probably don’t make it often, which shows."
trust,2,−,-2.3479650020599365,high,ed_all_48195,That playground has been a solid place for years; I trust the community will make the best decision even if it's being torn down now.
trust,2,−,-2.181046724319458,high,ed_all_47296,"I've been studying all week for my Geometry test, so I believe all this preparation will pay off and I'll handle it well."
trust,2,−,-2.1302175521850586,medium,ed_all_64633,My wife told me she was pregnant this morning; I believe we'll handle this together just fine.
trust,2,−,-2.1263058185577393,medium,ed_all_22259,I came home and found a $100 check in the mail; it seems everything is being handled properly and as expected.
trust,2,−,-2.0815203189849854,medium,dd_train_1722_0,"I just remembered I have to give a speech in class today that I didn't prepare for; I'll do my best, it should be okay."
fear,1,+,3.7421886920928955,high,ed_all_35294,"Every time I come home and my cat is at the door, I worry—what if something happened to them while I was gone?"
