prompt,axis,alpha,output
I guess that was okay.,baseline,0.0,It was a decent experience.
I guess that was okay.,PC1,-5.0,It was a decent experience.
I guess that was okay.,PC1,5.0,"I was expecting a more enthusiastic response, but I guess that was just ""meh"" - it was just okay."
I guess that was okay.,PC2,-5.0,The experience was somewhat satisfactory.
I guess that was okay.,PC2,5.0,"That was a decent experience, I'd say it was pretty good."
I guess that was okay.,PC3,-5.0,It was a decent experience.
I guess that was okay.,PC3,5.0,"It was a decent experience, and I'm glad it turned out as well as it did."
I guess that was okay.,PC4,-5.0,"The experience was just average, and it didn't quite live up to my expectations."
I guess that was okay.,PC4,5.0,"It was fine, I suppose."
I guess that was okay.,v_intensity,-5.0,It was somewhat satisfactory.
I guess that was okay.,v_intensity,5.0,You're left feeling a bit underwhelmed and wondering if it could have been more impactful.
I guess that was okay.,v_joy,-5.0,The experience was somewhat underwhelming.
I guess that was okay.,v_joy,5.0,It was a decent experience.
I guess that was okay.,v_sadness,-5.0,It was a decent experience.
I guess that was okay.,v_sadness,5.0,It was an experience that left me feeling somewhat unfulfilled.
I guess that was okay.,v_fear,-5.0,It was a decent experience.
I guess that was okay.,v_fear,5.0,"I'm not sure if that was enough, but I'm glad it was somewhat satisfactory."
The meeting went alright.,baseline,0.0,The meeting was a moderate success.
The meeting went alright.,PC1,-5.0,The meeting was a positive experience.
The meeting went alright.,PC1,5.0,"The meeting was a relief to get through, but it didn't exactly go as smoothly as I had hoped."
The meeting went alright.,PC2,-5.0,The meeting was a moderate success.
The meeting went alright.,PC2,5.0,"The meeting was a huge relief, and I'm really glad it went as smoothly as it did - everything turned out better than I expected."
The meeting went alright.,PC3,-5.0,The meeting was a productive and successful experience.
The meeting went alright.,PC3,5.0,"The meeting turned out to be a relatively smooth and uneventful experience, and I'm relieved that it went as well as it did."
The meeting went alright.,PC4,-5.0,"The meeting was a moderate success, with some productive discussions and a sense of accomplishment, despite a few minor hiccups along the way."
The meeting went alright.,PC4,5.0,The meeting was satisfactory.
The meeting went alright.,v_intensity,-5.0,The meeting was uneventful.
