emotion,local_pc,pole,score,intensity,source_id,text
joy,1,+,3.6627109050750732,medium,ed_all_55681,"Even though I got lost at the county fair and couldn't find my mom, I ended up enjoying some of the rides while waiting."
joy,1,+,3.597696542739868,medium,ed_all_19539,"Even though my neighbor lets their dog go in my yard, it gave me a chance to enjoy some fresh air and sunshine today."
joy,1,+,3.2987866401672363,high,ed_all_22204,"Even though my coworker doesn't stop chatting and asking questions, sometimes I find myself laughing at the ridiculous things he says when I'm really swamped."
joy,1,+,3.258679151535034,low,ed_all_25630,"My friend kept whistling, but I guess it didn’t ruin the whole time."
joy,1,+,3.2529633045196533,high,ed_all_51422,"The garbage collector didn't get my trash today, but honestly, at least now I have a little extra time to sort through it and maybe recycle more."
joy,1,+,3.222801685333252,high,ed_all_45998,"Even with all this traffic and those constant horn sounds, I managed to find some funny moments that actually made me laugh."
joy,1,+,3.2114109992980957,medium,ed_all_16364,"Even though telemarketers call my house, I can usually find a way to laugh it off."
joy,1,+,3.1815996170043945,medium,ed_all_21731,"Maybe with these tariffs, domestic products will get more attention and I might discover some great local brands."
joy,1,+,3.1546742916107178,low,ed_all_32590,Sometimes the randomness of the traffic here gives me a bit of a break during my day.
joy,1,+,3.1247785091400146,high,ed_all_17399,"I've been dealing with this entitled person lately, but honestly, it's been kind of funny watching how ridiculous they can be."
joy,1,+,3.1064343452453613,medium,ed_all_15224,"Brother took my car without asking, but somehow I managed to get to work, and it even gave me a good story to tell."
joy,1,+,3.090559959411621,high,ed_all_21731,"If tariffs come through, maybe businesses will start making things here, and that could be a good change for the economy."
joy,1,−,-2.9185521602630615,high,ed_all_47570,"I can't stop smiling—my son was showered with awards at his graduation, and it's just the best feeling ever!"
joy,1,−,-2.9154245853424072,high,ed_all_62373,Wow! Getting a bonus from my employer just made my day—this is exactly the boost I needed!
joy,1,−,-2.858398914337158,medium,ed_all_2812,I can't stop smiling—landing this dream job feels incredible.
joy,1,−,-2.853893518447876,high,ed_all_21430,"I can't stop smiling—I just booked my Vegas trip for the fall, and this is going to be amazing!"
joy,1,−,-2.8314900398254395,medium,ed_all_21430,"I just bought plane tickets to Las Vegas this fall. I've never been there before, and I can't wait to see what it's like!"
joy,1,−,-2.8259897232055664,medium,ed_all_35294,Seeing my cat waiting at the door when I get home always brightens my day.
joy,1,−,-2.8119728565216064,medium,ed_all_30594,It's great news that my wife got promoted—I couldn't be more pleased for her.
joy,1,−,-2.7994019985198975,high,ed_all_2812,This is incredible! Landing the job I’ve always wanted feels like such a win!
joy,1,−,-2.7530484199523926,high,ed_all_34479,"Tomorrow night's my friend's big party—I've been looking forward to this all week, it’s going to be amazing!"
joy,1,−,-2.738767147064209,high,ed_all_46428,This concert tonight is exactly what I needed—I’m beyond thrilled!
joy,1,−,-2.729722738265991,high,ed_all_25741,"I couldn’t stop smiling all week—my son finally used the potty, and it felt like such a huge win!"
joy,1,−,-2.6737453937530518,high,ed_all_10968,I got a raise yesterday! I can't stop smiling knowing all that effort finally paid off.
joy,2,+,2.8278162479400635,high,ed_all_62931,I went to the casino to eat yesterday and ended up having way more fun gambling than I expected!
joy,2,+,2.7750966548919678,high,ed_all_7048,Finally! A new spot in the neighborhood that actually serves something tasty. This is just what we needed!
joy,2,+,2.5622031688690186,high,ed_all_23247,"I went bowling alone yesterday, and surprisingly, I had such a great time that I didn't want to leave!"
joy,2,+,2.4310801029205322,high,ed_all_62301,"I have two jobs right now, but hearing that interview call for a better-paying one feels like a huge win!"
joy,2,+,2.4206066131591797,medium,ed_all_36889,It's exciting to see the Braves playing so well this season!
joy,2,+,2.364640712738037,high,dd_train_3976_0,"Joan keeps chatting while I'm reading, but honestly, it's kind of amusing how she just can't stop herself!"
joy,2,+,2.3349502086639404,high,ed_all_12579,I can hardly believe how much brighter my life feels since I met my girlfriend and all my friends!
joy,2,+,2.312208414077759,high,ed_all_9350,"Finally, I can’t wait for this date to actually be the one that turns everything around!"
joy,2,+,2.3110625743865967,high,ed_all_30815,"Wow! Even though my package got lost, the company was super fast with the replacement. That actually made my day!"
joy,2,+,2.2368173599243164,high,ed_all_12525,"Well, our fence fell down, but at least we have a chance to make it even better than before!"
joy,2,+,2.235203266143799,high,ed_all_42701,I farted at work today—can't believe I actually made everyone laugh that hard!
joy,2,+,2.158310890197754,high,ed_all_8385,"Just finished that murder mystery series, and honestly, it kept me so hooked—I couldn’t stop smiling at the clever twists!"
joy,2,−,-2.4015471935272217,low,ed_all_7095,"It would be nice to find a better paying job sometime soon, could use that extra cash."
joy,2,−,-2.221285581588745,low,ed_all_10050,It's nice to have my girlfriend for almost three years; she's really great.
joy,2,−,-2.151705265045166,medium,ed_all_5010,It’s nice remembering those fun games with my friends on the street; those were good times.
joy,2,−,-2.044034004211426,low,ed_all_39879,It’s nice to see my pre baby clothes fitting again; I guess those workouts are making a difference.
joy,2,−,-2.01446533203125,low,ed_all_10208,"Things are going alright; having my girlfriend, job, and friends makes things feel steady."
joy,2,−,-1.9986144304275513,low,ed_all_13995,I remember opening presents at Christmas; it was nice to be around family and have some tasty treats.
