side,PC1,emotion,intensity,source_id,text
+,2.5042355,disgust,high,ed_all_60283,"Everyone bailed for their own plans, leaving me stuck here alone. I shouldn’t have to be the one reaching out for company."
+,2.210473,anger,medium,ed_all_48609,My water heater broke? Seriously? This is so frustrating—why does stuff always break when I don’t need it to?
+,2.1863284,disgust,low,ed_all_23288,I wasn’t thrilled to find the post office closed when I arrived—it feels like they don’t care about people’s time.
+,2.0941093,anger,high,ed_all_48609,My water heater broke? This is ridiculous! Why does something important always fail at the worst time?
+,2.0745752,anger,medium,ed_all_36567,"I was about to go on maternity leave, and they threw a baby shower without even telling me first? That feels disrespectful."
+,2.06941,anger,high,ed_all_44812,"These storms happen way too often in fall and spring, so I had no choice but to create a storm emergency kit for the basement. It's infuriating to have to keep preparing like this."
-,-2.718944,joy,high,ed_all_27171,I can't believe the mechanic actually fixed everything—maybe the extra cost means my car is really in top shape now!
-,-2.608828,trust,high,ed_all_62494,"I have a big trip to California coming up, and I trust everything will go smoothly since I’ve done my research thoroughly."
-,-2.5504339,trust,high,ed_all_29726,"I have to call my landlord about the rent. I bet they’ll understand, and we’ll work something out calmly."
-,-2.5503695,trust,high,ed_all_20261,I moved to a new city with a lower cost of living. I believe I'll find my place here and build meaningful connections soon enough.
-,-2.5495617,trust,high,ed_all_63714,"I have a big test in a few weeks, but I trust that my studying will pay off and I’ll be ready on time."
-,-2.5486603,trust,high,ed_all_39724,"All of my friends are married now. They've found their partners, and I believe I'll find the right person when the time is right for me too."
