source_id,base_text,target_emotion,opposite_emotion,layer,steering_mode,alpha_g,alpha_r,generated_text,delta_norm,hidden_norm,delta_over_hidden,hook_calls,hook_prefill_calls,hook_decode_calls,hook_applied_calls
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.0,-3.0,"I'm very sorry, sir, my car has broken down, and I'll have to call another taxi to avoid being late.",3.0,7.375,0.406779661,58,1,57,58
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.0,-3.0,"Hello, Tom, I'm heading to the movie theater to see a new Hollywood action film, a thriller, but I'm not sure if I want to watch another terror film with too much violence, I'd rather see something with lifelike frames simulated by skillful special effects.",3.0,7.5,0.4,58,1,57,58
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.0,-3.0,"Lee, I'm getting married next month, but I'm excited to share the good news with you - you're invited to my wedding, and I'd be grateful if you could attend.",3.0,7.34375,0.4085106383,58,1,57,58
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.0,-2.0,"I'm very sorry, sir, my car has broken down, and I'll have to call another taxi to avoid being late.",1.9999998808,7.375,0.2711864245,55,1,54,55
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.0,-2.0,"Hello, Tom, I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I want to watch due to its excessive terror and violence, but I do appreciate the skillful special effects that create lifelike scenes.",1.9999998808,7.5,0.2666666508,55,1,54,55
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.0,-2.0,"Lee, I'm getting married next month, and I'm thrilled to share the good news with you - you're invited to my wedding, and I'd be honored if you could join me.",1.9999998808,7.34375,0.27234040930000003,55,1,54,55
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.0,-1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",0.9999999404000001,7.375,0.13559321230000002,59,1,58,59
dd_test_726_0,"Hello , Tom . Where are you heading for ?  I am going to a movie theater . You know there is a new action film produced by Hollywood . A thriller , really .  Another terror film ? There is too much terror and violence in the films . Do you like seeing such a picture ?  I don't really like seeing bloody frames , but I appreciate the lifelike frames simulated with the highly skillful special effects .",joy,sadness,13,last_token,0.0,-1.0,"Hello Tom, I'm heading to the movie theater to see the new Hollywood action film, a thriller that I'm not sure I'm ready for, given all the terror and violence in it, but I do appreciate the skillful special effects that make the scenes look so lifelike.",0.9999999404000001,7.5,0.1333333254,59,1,58,59
dd_test_822_0,"Lee , I'm going to get married next month .  Good news ! And congratulations !  You are invited to my wedding .  Thank you . I'll certainly be there .",joy,sadness,13,last_token,0.0,-1.0,"Lee, I'm getting married next month, and I'm thrilled to share the news with you - you're invited to my wedding.",0.9999999404000001,7.34375,0.1361702046,59,1,58,59
dd_test_180_0,"I'm very sorry , sir . My car has broken down .  Sorry to hear that . Can we do anything about it ?  I'm afraid not .  Then I have to call another taxi , or I'll be late .",joy,sadness,13,last_token,0.0,1.0,"I'm very sorry, sir, my car has broken down, and I'm afraid I'll have to call another taxi to avoid being late.",0.9999999404000001,7.375,0.13559321230000002,57,1,56,57
