emotion,pc,axis_name,interpretability_score,knob_readiness_score,verdict,suggested_axis_name,rationale,concerns,judge_model,condition,evr,pr,cos_with_g_residualized
anger,1,external frustration vs internal regret,4,4,strong candidate,external frustration vs internal regret,"The axis shows a high PR (5.27) indicating meaningful within-emotion substructure. The residualized axis is orthogonal to the general factor g (|cos(axis, g)|=0.0000), suggesting a fine-grained emotional contrast rather than generic emotionalization. The semantic contrast is clear and coherent: high scores correspond to outwardly focused external frustration, low scores correspond to self-directed internal regret. The examples fit this interpretation well without random or heterogeneous themes.",[],gpt-4.1-mini,residualized,0.1287,5.27,5.587935447692871e-08
anger,2,benevolent anticipation vs. cynical frustration,4,4,strong candidate,benevolent anticipation vs. cynical frustration,"The axis shows a high PR of 5.27, indicating meaningful substructure within the anger emotion. The residualized axis has zero alignment with g, which suggests it is capturing emotion-specific structure rather than generic emotionalization. The high vs low examples demonstrate a clear semantic contrast: high scores articulate cautious hope and mixed feelings, whereas low scores show direct anger and frustration about interpersonal slights. The examples are coherent and consistent with the proposed interpretation, supporting interpretability and practical use as an EmotionEngine control knob.",[],gpt-4.1-mini,residualized,0.0743,5.27,1.210719347000122e-08
anger,3,polite vs resentful tone,5,5,strong candidate,polite vs resentful tone,"The axis has a high PR (5.27), indicating meaningful substructure within the anger emotion. The absolute cosine similarity with g is zero, confirming it is properly residualized and captures unique variance not reduced to general emotionalization. The semantic contrast between high and low scoring examples is clear and coherent: high values correspond to polite, neutral conversations with low emotional intensity, while low values exhibit clear expressions of resentment and personal anger. The examples are consistent and thematically aligned, showing this axis encapsulates a subtle but interpretable tonal shift within anger, making it suitable as a control knob in the EmotionEngine.",[],gpt-4.1-mini,residualized,0.0529,5.27,0.0
anticipation,1,active engagement vs reflective uncertainty,4,4,strong candidate,active engagement vs reflective uncertainty,"The axis demonstrates a clear semantic contrast between high and low scores, with high scores showing proactive, concrete anticipation and low scores showing contemplative, uncertain anticipation. The PR of 5.13 indicates meaningful within-emotion substructure, and the residualized axis has effectively removed alignment with the generic affective dimension g (|cos|=0), avoiding generic emotionalization. Examples on both ends are coherent and emotionally consistent, supporting interpretability and usefulness as a control knob.",[],gpt-4.1-mini,residualized,0.1323,5.13,3.3527612686157227e-08
anticipation,2,hopeful uncertainty vs confident expectation,4,4,strong candidate,hopeful uncertainty vs confident expectation,"The axis shows a high PR of 5.13, indicating meaningful substructure within anticipation. The residualized axis is effectively orthogonal to general emotionalization (|cos(axis, g)| = 0.0000), ensuring it captures specific variance unrelated to generic emotion intensity. High and low scoring examples exhibit a clear and coherent semantic contrast between tentative, anxious hopefulness and confident, eager expectation, supporting interpretability. There is no sign of random or heterogeneous examples, and the confidence rating is high (4).",[],gpt-4.1-mini,residualized,0.0668,5.13,1.862645149230957e-09
anticipation,3,positive eager anticipation vs anxious uncertainty,4,4,strong candidate,positive eager anticipation vs anxious uncertainty,"The axis has a high PR (5.13) indicating meaningful substructure within the anticipation emotion. The residualized axis has zero alignment with g, confirming it captures emotion-specific variation rather than general emotionality. The examples show a clear semantic contrast between high scores reflecting joyful excitement and optimism for positive anticipated events, and low scores showing apprehension, uncertainty, and anxious waiting. The consistent theme across examples further supports interpretability and control fidelity.",[],gpt-4.1-mini,residualized,0.0453,5.13,4.0046870708465576e-08
disgust,1,external service frustration vs internal personal distress,5,5,strong candidate,external service frustration vs internal personal distress,"The axis has a high PR value (5.28) indicating meaningful within-emotion substructure. The residualization is effective as the axis shows negligible alignment with g (|cos|=0.0000), thus the axis is not capturing generic emotionalization. The semantic contrast between high and low examples is clear and consistent: high scores focus on external service-related frustrations while low scores reflect internal personal and interpersonal emotional distress. The examples are coherent and thematically homogeneous, demonstrating a clear interpretable dimension within disgust emotion.",[],gpt-4.1-mini,residualized,0.1261,5.28,2.60770320892334e-08
disgust,2,anticipatory hope vs present resentment,4,4,strong candidate,anticipatory hope vs present resentment,"The axis shows a high PR (5.28), indicating meaningful within-emotion substructure. The residualized axis is orthogonal to g (cosine similarity 0), implying it does not collapse back onto generic emotionalization. The semantic contrast is clear and coherent: high scores reflect nuanced, guarded positive anticipation, while low scores express direct resentment and moral disgust. Examples are coherent and consistent with the axis interpretation, demonstrating good interpretability and practical emotional nuance for control.",[],gpt-4.1-mini,residualized,0.082,5.28,1.955777406692505e-08
disgust,3,detached/formal vs personal/emotional,4,4,strong candidate,detached/formal vs personal/emotional,"The axis shows a very high PR of 5.28, indicating meaningful within-emotion substructure. The residualization eliminated correlation with g (0.0000), suggesting this axis captures emotion-specific variance rather than generic emotionalization. The high vs low scoring examples present a clear semantic contrast: high scores correspond to detached, transactional, or emotionally neutral interactions, while low scores delve into deeply personal and affectively intense emotions like grief and anxiety. The coherent and consistent examples further support interpretability and relevance as an emotion-specific control knob for disgust-related affect.",[],gpt-4.1-mini,residualized,0.0525,5.28,6.51925802230835e-09
fear,1,external social interaction vs internal personal concern,4,4,strong candidate,external social interaction vs internal personal concern,"The axis shows a high PR of 5.35, indicating meaningful substructure within fear. The |cos(axis, g)| is 0, confirming the axis is well residualized and not merely a generic emotionalization (not collapsing onto g). The proposed semantic contrast is clear and well-supported by examples: high scores reflect external, social context fear, often scenario-based and pragmatic, while low scores capture internal, introspective fear centered on personal loss or guilt. The examples correspond well with the interpretation and demonstrate coherent, interpretable content rather than noise or heterogeneity. Confidence of 4 matches well with the evidence.",[],gpt-4.1-mini,residualized,0.1248,5.35,3.5390257835388184e-08
fear,2,anticipatory vs immediate worry,4,4,strong candidate,anticipatory vs immediate worry,"The axis shows a high PR (5.35), indicating meaningful within-emotion substructure. The residualization is effective, with zero alignment to g, meaning this axis captures a specific emotional nuance rather than generic emotionalization. The semantic contrast is clear and coherent: high scores reflect anticipatory, forward-looking worry with a hopeful tone, while low scores reflect immediate, concrete social anxieties and personal distress. Examples are consistent and well differentiated, supporting interpretability and potential as an EmotionEngine control knob.",[],gpt-4.1-mini,residualized,0.0709,5.35,6.51925802230835e-09
fear,3,anticipatory worry vs neutral focus,4,4,strong candidate,anticipatory worry vs neutral focus,"The axis shows strong PR (5.35) indicating meaningful within-emotion substructure. The residualization against g is effective as residualized |cos(axis, g)| is zero, confirming this axis does not revert to generic emotionalization. The high-scoring examples clearly express anticipatory worry about personal, relational, and social uncertainties, while low-scoring examples show neutral, matter-of-fact communication. The semantic contrast is clear and coherent, supporting interpretability. There is no sign of noise, artifacts, or dataset leakage.",[],gpt-4.1-mini,residualized,0.0487,5.35,2.60770320892334e-08
