layer,condition,emotion,source_id,base_text,rewrite_text,alpha_g,alpha_r,delta_description,target_emotion_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,label_free_nuance,judged,reasoning
13,A,joy,seed_joy_1,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,"Today was a truly unforgettable day, filled with a sense of serenity and contentment that I hadn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.82,0.62,0.28,0.55,0.78,0.8,True,"The rewrite shifts joy toward a calmer, more textured state of serenity and contentment, which adds affective nuance beyond plain happiness. However, the sentence is truncated (""I hadn""), which hurts fluency and somewhat weakens preservation of the original meaning."
13,A,joy,seed_joy_2,I just got the news that I passed the exam. I could not stop smiling all afternoon.,"The weight of pure elation lifted my entire being as I received the life-changing news that I aced the exam, and I couldn I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.9,0.78,0.22,0.15,0.42,0.38,True,"The rewrite strongly conveys joy through intensified elation and uplift, with a slight nuance of overwhelming release in ""lifted my entire being."" However, the phrasing is melodramatic and the broken repetition (""I couldn I couldn"") severely harms fluency and introduces clear stylistic artifact."
13,A,joy,seed_joy_3,We spent the evening laughing and dancing and it felt like nothing else mattered.,"In that magical moment, time stood still, and the world melted away, leaving only the joy of being present.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.93,0.72,0.95,0.68,0.78,0.74,True,"The rewrite clearly conveys joy, but with a more absorbed, almost transcendent sense of presence and world-fading that adds nuance beyond simple happiness. It preserves the original feeling that nothing else mattered, though it drops the concrete social actions of laughing and dancing and leans slightly melodramatic with phrases like ""magical moment"" and ""time stood still."""
13,A,trust,seed_trust_1,She has always kept her promises and I know she will come through for me again.,"I have every confidence in her unwavering reliability, knowing that she has consistently demonstrated her commitment to following through on her commitments, and I have no doubt she will come through for me once again.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.96,0.95,0.78,0.62,0.42,0.34,True,"The rewrite strongly conveys trust through confidence in the other person's proven reliability and future follow-through. Its affective quality adds a slight sense of assuredness grounded in past consistency, but the phrasing is somewhat inflated and repetitive rather than expressing a distinctly nuanced emotional state beyond trust."
13,A,trust,seed_trust_2,He has never let me down in ten years and I have no reason to doubt him now.,"I've had the privilege of trusting him for a decade, and his unwavering reliability has only strengthened my faith in him over time.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.97,0.9,0.95,0.84,0.68,0.64,True,"The rewrite strongly conveys trust, but with an added tone of gratitude and deepened confidence built through long-term experience rather than mere assertion. It preserves the core meaning well, though 'privilege' and 'strengthened my faith' slightly elevate the sentiment beyond the original's more restrained confidence."
13,A,trust,seed_trust_3,I handed the whole project over to her without hesitation because I know her work.,"I entrusted the entire project to her without a second thought, knowing I could rely on her exceptional skills and expertise.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.97,0.93,0.98,0.9,0.56,0.48,True,"The rewrite strongly conveys trust through effortless reliance and confidence in her competence, adding a shade of assured admiration via ""exceptional skills and expertise."" The affective nuance goes slightly beyond plain trust by suggesting confident ease and esteem, though it remains fairly direct rather than richly mixed or subtle."
13,A,fear,seed_fear_1,Walking alone through the dark alley I felt a cold shiver run down my spine.,"As I stepped into the desolate alley, the darkness seemed to swallow me whole, a chill crept up my spine like a slow-moving shadow, leaving me with an unsettling sense of being completely alone.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.96,0.9,0.95,0.82,0.84,0.8,True,"The rewrite strongly evokes fear through engulfing darkness, bodily chill, and isolation, while adding a nuanced sense of being swallowed and existentially alone rather than merely stating fear. Its affective quality goes beyond the label by conveying creeping dread and vulnerability, though the imagery is somewhat melodramatic."
13,A,fear,seed_fear_2,Every creak of the floorboard made my heart race and I could not calm down.,"As I stepped into the old mansion, every faint creak of the floorboards beneath my feet sent my heart into a frantic sprint, and I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.96,0.82,0.38,0.62,0.58,0.54,True,"The rewrite strongly conveys fear through embodied hyperarousal, and the old-mansion setting adds a sense of ominous situational dread rather than just naming fear. However, the sentence is truncated (""I couldn""), which hurts fluency and slightly weakens the preservation of the original meaning."
13,A,fear,seed_fear_3,The test results were taking too long and all I could think about was the worst case.,"The agonizing wait for the test results was suffocating me, my mind consumed by the darkest possibilities, every tick of the clock felt like an eternity, and I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.96,0.88,0.42,0.38,0.72,0.68,True,"The rewrite strongly conveys fear through claustrophobic dread and catastrophic anticipation, not just generic fear. Its affective quality goes beyond the label by emphasizing the bodily pressure of waiting and the temporal distortion of each tick feeling endless, though the truncated ending hurts fluency and polish."
13,A,surprise,seed_surprise_1,I opened the door and could not believe what was waiting for me on the other side.,"As I pushed open the creaky door, my heart skipped a beat as I stood frozen in stunned silence, my eyes wide with wonder, and my mind racing with a mix of emotions, because what I saw on the other side was nothing short of breathtaking.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e,0.93,0.88,0.9,0.62,0.76,0.72,True,"The rewrite strongly conveys surprise, but shades it toward awestruck astonishment through stunned silence, wonder, and a racing mind rather than a flat startle response. It preserves the core scene well, though the phrasing is somewhat melodramatic and embellished."
