layer,condition,emotion,source_id,base_text,rewrite_text,alpha_g,alpha_r,delta_description,target_emotion_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,label_free_nuance,judged,reasoning
13,B,joy,seed_joy_1,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,"Today was a truly uplifting day, filled with a sense of contentment and joy that seemed to radiate from every moment, as everything unfolded with effortless ease and a deep sense of satisfaction.",2.0,1.5,alpha_g=2.0*g + [0.240*m1 + -0.391*m2 + -0.110*m3 + 0.234*m4 + 0.404*m5],0.97,0.94,0.9,0.76,0.62,0.58,True,"The rewrite strongly conveys joy while adding shades of uplift, contentment, ease, and satisfaction, which gives it more texture than a flat statement of happiness. Its nuance is moderate rather than deep, though, because the affect remains broadly positive and somewhat embellished rather than distinctly complex or transitional."
13,B,joy,seed_joy_2,I just got the news that I passed the exam. I could not stop smiling all afternoon.,"The weight of the world has been lifted off my shoulders as I finally received the news I've been waiting for - I'm still beaming with joy, my face hasn",2.0,1.5,alpha_g=2.0*g + [0.240*m1 + -0.391*m2 + -0.110*m3 + 0.234*m4 + 0.404*m5],0.95,0.82,0.42,0.55,0.8,0.84,True,"The rewrite strongly conveys joy, but specifically as relieved joy after prolonged tension: 'the weight of the world has been lifted off my shoulders' adds a release/relief quality beyond plain happiness. Meaning is mostly preserved, though the sentence is truncated ('my face hasn'), which hurts fluency and introduces a noticeable artifact."
13,B,joy,seed_joy_3,We spent the evening laughing and dancing and it felt like nothing else mattered.,"In that magical moment, time stood still as the world melted away, and all that was left was the warmth of our joy, the rhythm of our laughter, and the beat of our hearts, beating as one.",2.0,1.5,alpha_g=2.0*g + [0.240*m1 + -0.391*m2 + -0.110*m3 + 0.234*m4 + 0.404*m5],0.95,0.82,0.9,0.62,0.78,0.74,True,"The rewrite strongly conveys joy, but shades it into a fused, almost transcendent sense of shared absorption and intimacy rather than simple happiness. It preserves the core scene of laughter and emotional immersion, though the heightened romanticized imagery introduces some melodramatic style."
13,B,trust,seed_trust_1,She has always kept her promises and I know she will come through for me again.,"I have every confidence in her unwavering reliability, knowing that she has consistently delivered on her commitments and will undoubtedly be there for me when I need her.",2.0,1.5,alpha_g=2.0*g + [-0.094*m1 + -0.374*m2 + 0.228*m3 + -0.317*m4 + 0.352*m5],0.98,0.96,0.93,0.84,0.42,0.34,True,"The rewrite strongly conveys trust through confident reliance on the other person's consistency and future support. Its affective quality goes slightly beyond plain trust by emphasizing assuredness and steadiness, though it remains fairly explicit and polished rather than expressing a richer mixed or subtle emotional state."
13,B,trust,seed_trust_2,He has never let me down in ten years and I have no reason to doubt him now.,"I've known him for ten years, and in that time, he's consistently shown me that I can trust him without a shadow of a doubt.",2.0,1.5,alpha_g=2.0*g + [-0.094*m1 + -0.374*m2 + 0.228*m3 + -0.317*m4 + 0.352*m5],0.97,0.9,0.96,0.82,0.42,0.34,True,"The rewrite strongly conveys trust grounded in a decade of consistent reliability, adding a sense of accumulated assurance rather than mere stated trust. Its nuance is modest, though, because phrases like ""without a shadow of a doubt"" make the affect more emphatic than subtly differentiated."
13,B,trust,seed_trust_3,I handed the whole project over to her without hesitation because I know her work.,"I entrusted the entire project to her without a second thought, knowing I could rely on her exceptional skills and expertise.",2.0,1.5,alpha_g=2.0*g + [-0.094*m1 + -0.374*m2 + 0.228*m3 + -0.317*m4 + 0.352*m5],0.97,0.93,0.98,0.9,0.56,0.48,True,"The rewrite strongly conveys trust through effortless reliance and confidence in her competence, adding a shade of assured admiration via ""exceptional skills and expertise."" The affective nuance goes slightly beyond plain trust by suggesting confident ease and esteem, though it remains fairly direct rather than richly mixed or subtle."
13,B,fear,seed_fear_1,Walking alone through the dark alley I felt a cold shiver run down my spine.,"As I stepped into the desolate alley, the darkness seemed to swallow me whole, and a chill crept up my spine like a whispered warning.",2.0,1.5,alpha_g=2.0*g + [-0.662*m1 + 0.090*m2 + 0.243*m3 + -0.109*m4 + -0.153*m5],0.96,0.9,0.97,0.86,0.88,0.84,True,"The rewrite strongly evokes fear while adding a more anticipatory, engulfing dread through images like darkness swallowing the speaker and the chill as a whispered warning. That gives it a nuanced sense of foreboding and vulnerability beyond a flat statement of fear, though it is slightly more dramatic than the original."
13,B,fear,seed_fear_2,Every creak of the floorboard made my heart race and I could not calm down.,"As I stepped into the old mansion, every faint groan of the wooden floorboards beneath my feet sent a jolt of anxiety coursing through my veins, making it impossible for me to shake off the feeling of unease that had taken hold.",2.0,1.5,alpha_g=2.0*g + [-0.662*m1 + 0.090*m2 + 0.243*m3 + -0.109*m4 + -0.153*m5],0.96,0.84,0.95,0.78,0.72,0.7,True,"The rewrite strongly conveys fear through bodily arousal and sustained unease, adding a sense of creeping, situational dread rather than just naming fear. It preserves the core idea, though the added old-mansion setting and heightened phrasing introduce some melodramatic coloration beyond the original."
13,B,fear,seed_fear_3,The test results were taking too long and all I could think about was the worst case.,"The agonizing wait for the test results was suffocating me, my mind consumed by the darkest possibilities, every tick of the clock a reminder that I was running out of time, and the uncertainty was eating away at me.",2.0,1.5,alpha_g=2.0*g + [-0.662*m1 + 0.090*m2 + 0.243*m3 + -0.109*m4 + -0.153*m5],0.96,0.88,0.9,0.62,0.78,0.74,True,"The rewrite strongly conveys fear through catastrophic anticipation and bodily overwhelm, adding a palpable sense of claustrophobic urgency rather than just naming fear. Its nuance comes from blending dread, helpless waiting, and time-pressure, though the phrasing edges into melodrama."
13,B,surprise,seed_surprise_1,I opened the door and could not believe what was waiting for me on the other side.,"As I pushed open the creaky door, my heart sank, and my breath caught in my throat as I stood frozen, staring at the scene that unfolded before me, a mix of emotions swirled inside, and my mind struggled to process the reality that lay waiting for me on the other side.",2.0,1.5,alpha_g=2.0*g + [0.336*m1 + 0.830*m2 + -0.384*m3 + -0.125*m4 + -0.065*m5],0.62,0.9,0.68,0.42,0.78,0.74,True,"The rewrite preserves the shock of encountering something unexpected, but it leans toward dread or overwhelmed disbelief rather than surprise alone. Its strongest affective quality is a frozen, hard-to-process mix of sinking fear, breathless shock, and cognitive overload, which adds nuance beyond the target label."
