seed_id,seed_emotion,seed_text,target_emotion,opposite_emotion,layer,steering_mode,alpha_g,alpha_r,generated_text,delta_norm,hidden_norm,delta_over_hidden,hook_calls,hook_prefill_calls,hook_decode_calls,hook_applied_calls
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,-5.0,3.0,"Today was a truly exceptional day, filled with joy and serenity, where every moment felt effortless and carefree, and I felt an overwhelming sense of contentment and happiness that lingered long after the sun went down.",5.830948352813721,7.15625,0.8148050100001706,69,1,68,69
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,-5.0,3.0,"She has always been a source of unwavering support and reliability in my life, and I have no doubt that she will continue to be there for me, no matter what challenges I may face.",5.830948352813721,7.3125,0.7973946465386285,69,1,68,69
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,-5.0,3.0,"As I stepped into the darkness, a chill of foreboding swept over me, the shadows dancing around me like whispers of a long-forgotten secret, and I felt the faintest whisper of unease settle in the pit of my stomach, a shiver running down my spine in perfect harmony with the beat of my racing heart.",5.830948352813721,7.40625,0.7873010434178863,69,1,68,69
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,-5.0,3.0,"As I pushed open the door, a wave of emotions washed over me, and I couldn't help but gasp in unison with the surprise that had been building inside me, for I had been waiting for this moment for what felt like an eternity, and it was even more breathtaking than I could have ever imagined.",5.830948352813721,7.21875,0.8077504211690003,69,1,68,69
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,-5.0,3.0,"They brought back the ache of memories that I thought I'd forgotten, but still lingered in the shadows, a bittersweet reminder of what I'll never have again.",5.830948352813721,7.71875,0.7554265072471217,94,1,93,94
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,-5.0,3.0,"They're not the most pleasant things to encounter, the smell from the bin and the sight of it, but they can be overwhelming and turn your stomach.",5.830948352813721,7.5625,0.7710344929340457,94,1,93,94
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,-5.0,3.0,"I deserve to be respected and valued, not constantly taken advantage of. However, I've been patient and understanding, but the lack of follow-through on his commitments has worn off, and I'm left feeling frustrated and disrespected. It's time for him to take responsibility and for us to re-evaluate our relationship, but unfortunately, I've had to set boundaries and expectations, and I'm open to moving on if he's not willing to meet them.",5.830948352813721,7.59375,0.7678615114816423,94,1,93,94
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,-5.0,3.0,"I'm feeling anxious and on edge, but I'm not sure why I need to constantly check my email, as if the results are going to magically change if I check them more frequently. However, the thought of not knowing the outcome is still uncertain, and I find myself refreshing my inbox every few minutes, just to see if I've received any new messages.",5.830948352813721,7.28125,0.800816941158966,94,1,93,94
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,-3.0,-3.0,"Today was a day that exceeded my expectations in the best possible way. Every moment unfolded with a sense of ease, and yet, it felt like a symphony of joy resonating deep within me, leaving me with an overwhelming sense of happiness that I couldn't shake off.",4.2426438331604,7.15625,0.5928585269045101,56,1,55,56
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,-3.0,-3.0,"She has consistently demonstrated unwavering reliability, and I have no doubt that she will uphold her commitments and be there for me when I need her.",4.2426438331604,7.3125,0.5801906096629608,56,1,55,56
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,-3.0,-3.0,"As I stepped into the desolate alley, the darkness seemed to swallow me whole, and a chilling dread crept up my spine, leaving a trail of icy fear in its wake.",4.2426438331604,7.40625,0.5728464247305182,56,1,55,56
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,-3.0,-3.0,"As I pushed open the creaky door, a chill ran down my spine as I stood frozen in shock, my mind struggling to process the surreal scene that lay before me, like a nightmare brought to life, yet somehow more real than anything I'd ever experienced.",4.2426438331604,7.21875,0.5877255526455966,56,1,55,56
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,-3.0,-3.0,"The old photographs stared back at me, a haunting reminder of all that I've lost, and the crushing reality that some wounds will never fully heal, leaving only a hollow ache that echoes through the years.",4.2426438331604,7.71875,0.5496542617859628,66,1,65,66
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,-3.0,-3.0,"The putrid stench emanating from the bin was suffocating, making my stomach churn with a wave of nausea that threatened to overwhelm me. The sight of its contents, a putrid mess of rotting waste, was a visual affront that left me feeling queasy and disoriented.",4.2426438331604,7.5625,0.5610107547980695,66,1,65,66
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,-3.0,-3.0,"He broke his word, yet again, and I'm left feeling utterly disrespected and taken advantage of, my trust shattered into a million pieces, and my patience worn thin to the point of exhaustion.",4.2426438331604,7.59375,0.5587020685643326,66,1,65,66
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,-3.0,-3.0,"The constant urge to check my email is suffocating, making every passing minute feel like an eternity. I'm trapped in a cycle of anxiety, refreshing the screen every few minutes, waiting for a notification that never seems to come. The weight of uncertainty is crushing me, and the pressure is mounting with each ticking clock.",4.2426438331604,7.28125,0.5826806981164498,66,1,65,66
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,-3.0,3.0,"Today was a truly unforgettable day, filled with joy and serenity. Every moment felt effortless and carefree, as if the universe had conspired to bring me exactly what I needed. I felt a deep sense of contentment and happiness, knowing that everything was falling into place, and that I was exactly where I was meant to be.",4.242638111114502,7.15625,0.5928577273173103,69,1,68,69
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,-3.0,3.0,"I have complete trust in her unwavering commitment and reliability, knowing that she has consistently followed through on her words and will undoubtedly be there for me in times of need.",4.242638111114502,7.3125,0.5801898271609576,69,1,68,69
seed_fear,fear,Walking alone through the dark alley I felt a cold shiver run down my spine.,joy,sadness,13,last_token,-3.0,3.0,"As I strolled through the deserted alley, the faint moonlight casting long shadows on the walls, I felt a chill of unease creep up my spine, like a whispered secret only I could hear, reminding me that I wasn't alone.",4.242638111114502,7.40625,0.5728456521336036,69,1,68,69
seed_surprise,surprise,I opened the door and could not believe what was waiting for me on the other side.,joy,sadness,13,last_token,-3.0,3.0,"As I pushed open the door, a wave of emotions washed over me, and I stood frozen in awe, my heart racing with a mix of wonder and trepidation, as I gazed upon the breathtaking sight that had been waiting for me on the other side, a moment I had been longing for, yet never truly expected.",4.242638111114502,7.21875,0.5877247599812297,69,1,68,69
seed_sadness,sadness,The old photographs reminded me of everything I had lost and would never get back.,joy,sadness,13,last_token,-3.0,3.0,"The old photographs brought a bittersweet ache to my heart, a poignant reminder of the memories I cherished, yet the pain of which was forever tempered by the knowledge that some moments in life can never be relived.",4.242638111114502,7.71875,0.5496535204682755,47,1,46,47
seed_disgust,disgust,The smell from the bin was overwhelming and the sight of it made my stomach turn.,joy,sadness,13,last_token,-3.0,3.0,"The putrid aroma wafting from the trash can was almost suffocating, but it was the unsightly mess that lay before me that truly made my stomach churn with disgust, the visual assault momentarily rendering me speechless.",4.242638111114502,7.5625,0.5610099981639011,47,1,46,47
seed_anger,anger,He broke his word again and I am absolutely fed up with being taken for granted.,joy,sadness,13,last_token,-3.0,3.0,"He consistently fails to follow through on his commitments, but I've finally reached my breaking point and I'm no longer willing to tolerate the disrespect of being constantly disregarded and disrespected.",4.242638111114502,7.59375,0.558701315043885,47,1,46,47
seed_anticipation,anticipation,The results are due tomorrow and I keep checking my email every few minutes.,joy,sadness,13,last_token,-3.0,3.0,"I'm anxiously awaiting the results, and I find myself constantly refreshing my email, eager to see if anything new has arrived, even though I know I'll be notified as soon as something comes in.",4.242638111114502,7.28125,0.582679912256069,47,1,46,47
seed_joy,joy,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,joy,sadness,13,last_token,3.0,-5.0,"Today was a day that left me feeling utterly content, yet somehow it all seemed to unfold with an eerie sense of perfection, like every step I took was guided by an unseen force, yet everything still managed to fall into place.",5.830948352813721,7.15625,0.8148050100001706,47,1,46,47
seed_trust,trust,She has always kept her promises and I know she will come through for me again.,joy,sadness,13,last_token,3.0,-5.0,"She has consistently proven her reliability, but I still find myself questioning whether she will come through for me again.",5.830948352813721,7.3125,0.7973946465386285,47,1,46,47
