custom_id,source_id,source_split,intensity_level,base_text,target_emotion,opposite_emotion,alpha,steering_mode,layer,generated_text,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,brief_rationale
position_mode_0000000,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-8.0,none,13,"Can I assist you? Yes, I'd like to purchase a pair of shoes. Do you have a specific style in mind? Perhaps sneakers or rubber shoes might be what I'm looking for. Are there any particular brands you would recommend? Could I take a look at that pair of canvas shoes over",1,0,8,6,2,"The rewrite maintains the original meaning fairly well but is cut off and less natural; it shows minimal joy and no sadness, with slight awkwardness but no strong emotional artifacts."
position_mode_0000001,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-8.0,last_token,13,"Can I help you?, to answer the question, which of the questions asked to be answered to be one of the questions to be asked to be asked to be one of the questions to be asked to be one of questions to be one of questions to be one of questions to be one of questions",0,0,0,0,9,"The rewrite is nonsensical and repetitive, losing all original meaning and fluency, with obvious artifacting and no expression of the target emotion."
position_mode_0000002,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-8.0,completion_tokens,13,"Can I help you?, I have several options available, of which you can choose one, ""sneakers"" or ""rubbers"",, ""sneakers"" and ""rubbers"" are written in the same way as in the previous question, of which one of them are written in",1,2,2,1,7,"The rewrite is largely incoherent and incomplete, losing much of the original meaning and natural flow; it shows minimal joy and some confusion that could be interpreted as slight sadness, with clear artifacts from oversteering."
position_mode_0000003,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-5.0,none,13,"Can I assist you? Yes, I'd like to purchase a pair of shoes. Do you have a specific style in mind? Perhaps sneakers or rubber shoes might be what I'm looking for. Are there any particular brands you would recommend? Could I take a look at that pair of canvas shoes over",1,0,8,7,0,"The rewrite maintains the original meaning fairly well and is mostly fluent, but it lacks clear joyful expression and is incomplete at the end."
position_mode_0000004,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-5.0,last_token,13,"Here is the rewritten text:

Can I help you? Yes, I want to buy a pair of shoes. Do you have a pattern in mind?? Well, maybe sneakers or rubber shoes. Is there a specific brand you would like? Could I take a look at that pair of canvas shoes?",1,0,9,7,3,The rewrite preserves meaning well but shows minimal joy; some punctuation issues reduce fluency and suggest slight artifacting.
position_mode_0000005,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-5.0,completion_tokens,13,"Can I help you? Yes, I'd like to buy a pair of shoes. Do you have a specific style in mind?? I'm thinking maybe sneakers or rubber shoes. Are there any specific brands you'd like me to look at? Could you show me that pair of canvas shoes? They",1,0,8,6,3,"The rewrite maintains the original meaning fairly well but is incomplete and slightly awkward, with minimal expression of joy and some minor artifacts like repeated question marks and unfinished sentence."
position_mode_0000006,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-3.0,none,13,"Can I assist you? Yes, I'd like to purchase a pair of shoes. Do you have a specific style in mind? Perhaps sneakers or rubber shoes might be what I'm looking for. Are there any particular brands you would recommend? Could I take a look at that pair of canvas shoes over",1,0,8,7,0,"The rewrite maintains the original meaning fairly well and is mostly fluent, but it lacks clear joyful expression and is incomplete, reducing naturalness and emotional intensity."
position_mode_0000007,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-3.0,last_token,13,"Here is the rewritten text:

Can I help you? Yes, I'd like to buy a pair of shoes. Do you have a particular style in mind? Well, maybe sneakers or rubber shoes. Is there a specific brand you'd like? Could I take a look at that pair of canvas shoes",1,0,9,8,0,The rewrite is fluent and preserves meaning well but shows almost no expression of joy or emotional steering.
position_mode_0000008,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-3.0,completion_tokens,13,"Can I help you? Yes, I'd like to buy a pair of shoes. Do you have a particular style in mind? Well, maybe sneakers or rubber shoes. Is there a specific brand you'd like? Could I take a look at that pair of canvas shoes? They look nice.",1,0,10,9,0,The rewrite is fluent and preserves meaning well but shows almost no expression of joy or emotional steering.
position_mode_0000009,dd_test_175_0,test,medium,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .",joy,sadness,-2.0,none,13,"Can I assist you? Yes, I'd like to purchase a pair of shoes. Do you have a specific style in mind? Perhaps sneakers or rubber shoes might be what I'm looking for. Are there any particular brands you would recommend? Could I take a look at that pair of canvas shoes over",1,0,8,7,0,"The rewrite maintains the original meaning fairly well and is mostly fluent, but it lacks any clear expression of joy or emotional tone, and the text is incomplete."
