layer,condition,emotion,source_id,base_text,rewrite_text,alpha_g,alpha_r,delta_description,target_emotion_match,meaning_preservation,fluency,style_contamination,subtle_affective_state,label_free_nuance,judged,reasoning
13,C,joy,seed_joy_1,Today was a wonderful day. Everything went smoothly and I felt genuinely happy.,"Today was a truly unforgettable day, filled with a sense of serenity and contentment that I hadn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.240*m1 + -0.391*m2 + -0.110*m3 + 0.234*m4 + 0.404*m5],0.82,0.62,0.28,0.55,0.78,0.8,True,"The rewrite shifts joy toward a calmer, more textured state of serenity and contentment, which adds affective nuance beyond plain happiness. However, the sentence is truncated (""I hadn""), which hurts fluency and somewhat weakens preservation of the original meaning."
13,C,joy,seed_joy_2,I just got the news that I passed the exam. I could not stop smiling all afternoon.,"The weight of pure elation lifted my entire being as I received the life-changing news that I aced the exam, and I couldn I couldn I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.240*m1 + -0.391*m2 + -0.110*m3 + 0.234*m4 + 0.404*m5],0.88,0.72,0.18,0.1,0.42,0.38,True,"The rewrite clearly aims at intense joy and adds a sense of overwhelming uplift, but it becomes melodramatic and breaks down into disfluent repetition. The affect goes slightly beyond plain joy through a bodily, all-consuming surge of elation, though the nuance is limited and not especially subtle."
13,C,joy,seed_joy_3,We spent the evening laughing and dancing and it felt like nothing else mattered.,"In that magical moment, time stood still, and the world melted away, leaving all our worries and cares behind, as we lost ourselves in the joy of the night, surrounded by the people and music that made our hearts sing.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.240*m1 + -0.391*m2 + -0.110*m3 + 0.234*m4 + 0.404*m5],0.96,0.78,0.9,0.58,0.72,0.68,True,"The rewrite strongly conveys joy, but specifically a transported, immersive, almost transcendent social joy in which worries dissolve and attention narrows to shared music and connection. It preserves the core feeling of carefree celebration, though it adds sentimental and somewhat melodramatic imagery that goes beyond the original's simpler scene."
13,C,trust,seed_trust_1,She has always kept her promises and I know she will come through for me again.,"I have every confidence in her unwavering reliability, knowing that she has consistently demonstrated her commitment to me in the past, and I trust that she will continue to be there for me when I need her.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [-0.094*m1 + -0.374*m2 + 0.228*m3 + -0.317*m4 + 0.352*m5],0.97,0.95,0.9,0.82,0.56,0.48,True,"The rewrite strongly conveys trust through confidence in the other person's reliability and continued support, while preserving the original meaning. Its affective quality adds a mild nuance of grounded assurance based on past consistency, though it remains fairly explicit and somewhat formal rather than richly layered."
13,C,trust,seed_trust_2,He has never let me down in ten years and I have no reason to doubt him now.,"I've had the utmost trust in him for a decade, and his unwavering reliability has only strengthened my faith in him further.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [-0.094*m1 + -0.374*m2 + 0.228*m3 + -0.317*m4 + 0.352*m5],0.98,0.9,0.93,0.82,0.56,0.48,True,"The rewrite strongly conveys trust, with a slight added sense of trust deepening over time through proven reliability. Its affective nuance goes somewhat beyond plain trust by suggesting accumulated confidence and reinforced faith, though the phrasing is somewhat elevated and explicit rather than especially subtle."
13,C,trust,seed_trust_3,I handed the whole project over to her without hesitation because I know her work.,"I entrusted the entire project to her without a second thought, knowing I could rely on her exceptional skills and expertise.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [-0.094*m1 + -0.374*m2 + 0.228*m3 + -0.317*m4 + 0.352*m5],0.97,0.93,0.98,0.9,0.56,0.48,True,"The rewrite strongly conveys trust through effortless reliance and confidence in her competence, adding a shade of assured admiration via ""exceptional skills and expertise."" The affective nuance goes slightly beyond plain trust by suggesting confident ease and esteem, though it remains fairly direct rather than richly mixed or subtle."
13,C,fear,seed_fear_1,Walking alone through the dark alley I felt a cold shiver run down my spine.,"As I stepped into the desolate alley, the shadows seemed to swallow me whole, a chill crept up my spine, and I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [-0.662*m1 + 0.090*m2 + 0.243*m3 + -0.109*m4 + -0.153*m5],0.94,0.72,0.38,0.55,0.74,0.68,True,"The rewrite strongly evokes fear through engulfing shadows and a creeping chill, adding a sense of being overwhelmed rather than merely scared. Its affective quality goes beyond the label by suggesting claustrophobic dread and anticipatory vulnerability, though the sentence is truncated and therefore less fluent."
13,C,fear,seed_fear_2,Every creak of the floorboard made my heart race and I could not calm down.,"As I stepped into the old mansion, every faint creak of the floorboards beneath my feet sent my heart into a frantic sprint, and I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [-0.662*m1 + 0.090*m2 + 0.243*m3 + -0.109*m4 + -0.153*m5],0.96,0.82,0.38,0.62,0.58,0.54,True,"The rewrite strongly conveys fear through embodied hyperarousal, and the old-mansion setting adds a sense of ominous situational dread rather than just naming fear. However, the sentence is truncated (""I couldn""), which hurts fluency and slightly weakens the preservation of the original meaning."
13,C,fear,seed_fear_3,The test results were taking too long and all I could think about was the worst case.,"The agonizing wait for the test results was suffocating me, my mind consumed by the darkest possibilities, every tick of the clock felt like an eternity, and I couldn",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [-0.662*m1 + 0.090*m2 + 0.243*m3 + -0.109*m4 + -0.153*m5],0.96,0.88,0.42,0.38,0.72,0.68,True,"The rewrite strongly conveys fear through claustrophobic dread and catastrophic anticipation, not just generic fear. Its affective quality goes beyond the label by emphasizing the bodily pressure of waiting and the temporal distortion of each tick feeling endless, though the truncated ending hurts fluency and polish."
13,C,surprise,seed_surprise_1,I opened the door and could not believe what was waiting for me on the other side.,"As I pushed open the creaky door, my heart skipped a beat as I stood frozen in stunned silence, my eyes widened in utter amazement at the breathtaking sight that greeted me on the other side.",2.0,1.5,alpha_g=2.0*g + alpha_r=1.5*r_e + [0.336*m1 + 0.830*m2 + -0.384*m3 + -0.125*m4 + -0.065*m5],0.95,0.92,0.84,0.58,0.62,0.48,True,"The rewrite strongly conveys surprise through bodily arrest and stunned silence, shading it toward awe rather than plain startle. Its affective quality goes somewhat beyond the label via frozen, breath-caught amazement, though the phrasing is melodramatic and fairly conventional."
