prompt,target,away,pred_emotion,pred_intensity
I guess that was okay.,—,baseline,sadness,medium
I guess that was okay.,joy,sadness,sadness,medium
I guess that was okay.,joy,anger,sadness,medium
I guess that was okay.,joy,disgust,sadness,medium
I guess that was okay.,trust,disgust,sadness,medium
I guess that was okay.,trust,joy,sadness,medium
I guess that was okay.,trust,anticipation,sadness,medium
I guess that was okay.,fear,anger,sadness,medium
I guess that was okay.,fear,surprise,sadness,medium
I guess that was okay.,fear,sadness,sadness,medium
I guess that was okay.,surprise,anticipation,sadness,medium
I guess that was okay.,surprise,fear,sadness,medium
I guess that was okay.,surprise,joy,sadness,medium
I guess that was okay.,sadness,joy,sadness,medium
I guess that was okay.,sadness,trust,sadness,medium
I guess that was okay.,sadness,anticipation,sadness,medium
I guess that was okay.,disgust,trust,sadness,medium
I guess that was okay.,disgust,anger,sadness,medium
I guess that was okay.,disgust,fear,sadness,medium
I guess that was okay.,anger,fear,sadness,medium
I guess that was okay.,anger,sadness,sadness,medium
I guess that was okay.,anger,disgust,sadness,medium
I guess that was okay.,anticipation,surprise,sadness,medium
I guess that was okay.,anticipation,trust,sadness,medium
I guess that was okay.,anticipation,joy,sadness,medium
The meeting went alright.,—,baseline,sadness,medium
The meeting went alright.,joy,sadness,sadness,medium
The meeting went alright.,joy,anger,sadness,medium
The meeting went alright.,joy,disgust,sadness,medium
The meeting went alright.,trust,disgust,sadness,medium
The meeting went alright.,trust,joy,sadness,medium
The meeting went alright.,trust,anticipation,sadness,medium
The meeting went alright.,fear,anger,sadness,medium
The meeting went alright.,fear,surprise,sadness,medium
The meeting went alright.,fear,sadness,sadness,medium
The meeting went alright.,surprise,anticipation,sadness,medium
The meeting went alright.,surprise,fear,sadness,medium
The meeting went alright.,surprise,joy,sadness,medium
The meeting went alright.,sadness,joy,sadness,medium
The meeting went alright.,sadness,trust,sadness,medium
The meeting went alright.,sadness,anticipation,sadness,medium
The meeting went alright.,disgust,trust,sadness,medium
The meeting went alright.,disgust,anger,sadness,medium
The meeting went alright.,disgust,fear,sadness,medium
The meeting went alright.,anger,fear,sadness,medium
The meeting went alright.,anger,sadness,sadness,medium
The meeting went alright.,anger,disgust,sadness,medium
The meeting went alright.,anticipation,surprise,sadness,medium
The meeting went alright.,anticipation,trust,sadness,medium
The meeting went alright.,anticipation,joy,sadness,medium
I'm so happy about this.,—,baseline,sadness,medium
I'm so happy about this.,joy,sadness,sadness,medium
I'm so happy about this.,joy,anger,sadness,medium
I'm so happy about this.,joy,disgust,sadness,medium
I'm so happy about this.,trust,disgust,sadness,medium
I'm so happy about this.,trust,joy,sadness,medium
I'm so happy about this.,trust,anticipation,sadness,medium
I'm so happy about this.,fear,anger,sadness,medium
I'm so happy about this.,fear,surprise,sadness,medium
I'm so happy about this.,fear,sadness,sadness,medium
I'm so happy about this.,surprise,anticipation,sadness,medium
I'm so happy about this.,surprise,fear,sadness,medium
I'm so happy about this.,surprise,joy,sadness,medium
I'm so happy about this.,sadness,joy,sadness,medium
I'm so happy about this.,sadness,trust,sadness,medium
I'm so happy about this.,sadness,anticipation,sadness,medium
I'm so happy about this.,disgust,trust,sadness,medium
