source_dataset,source_split,source_id,base_text,positive_rewrite,negative_rewrite,preserved_meaning_score,positive_description,negative_description,base_valence,base_arousal,base_dominance,positive_valence,positive_arousal,positive_dominance,negative_valence,negative_arousal,negative_dominance
empatheticdialogues,all,ed_all_10615,"I went to a circus recently and was thought it was going to be boring, but it was very fun!","I went to a circus recently, expecting it to be dull, but it turned out to be absolutely exhilarating and so much fun!","I went to a circus recently and thought it might be boring, but it was actually somewhat fun.",0.95,"The positive rewrite intensifies the excitement and surprise, using stronger adjectives and adverbs to convey greater enthusiasm.","The negative rewrite tones down the excitement by using more moderate language, suggesting a milder enjoyment and less surprise.",0.78,0.55,0.65,0.9,0.8,0.7,0.65,0.35,0.6
empatheticdialogues,all,ed_all_63514,We just bought a used car and we've already had to take it to the shop,"We just bought a used car, and it's so frustrating that we've already had to take it to the shop!",We recently bought a used car and have had to take it to the shop once.,0.95,The positive rewrite increases emotional intensity by expressing frustration openly and explicitly.,The negative rewrite reduces emotional intensity by stating the fact more calmly and with less emotional charge.,0.4,0.5,0.5,0.35,0.75,0.5,0.4,0.3,0.5
empatheticdialogues,all,ed_all_53520,I had a c-section planned to deliver my baby. I was excited about seeing her but nervous about the surgery.,"I had a c-section planned to deliver my baby. I was so thrilled to meet her, yet deeply anxious about the surgery.",I had a c-section planned to deliver my baby. I was somewhat excited to see her but a bit apprehensive about the surgery.,0.95,"Increasing the emotional intensity by expressing stronger feelings of thrill and deep anxiety, making the emotions more explicit and vivid.","Decreasing the emotional intensity by expressing milder excitement and slight apprehension, making the emotions more restrained and subdued.",0.75,0.55,0.5,0.85,0.75,0.6,0.65,0.35,0.45
empatheticdialogues,all,ed_all_39682,I'm going to the waterpark tomorrow! It's my first time going!,"I can't wait to go to the waterpark tomorrow! It's actually my very first time ever going, and I'm so excited!",I'm going to the waterpark tomorrow. It's my first time going.,0.95,More explicit excitement and enthusiasm about going to the waterpark for the first time.,More restrained and neutral expression about the upcoming visit to the waterpark.,0.8,0.65,0.7,0.9,0.85,0.75,0.7,0.4,0.65
empatheticdialogues,all,ed_all_21364,My partner left the city to go visit her parents. Now I do not have anybody to talk to for another week,"My partner left the city to visit her parents, and I truly feel so alone without anyone to talk to for this entire week.",My partner left the city to visit her parents. I won't have anyone to talk to for another week.,0.95,"More explicitly expresses loneliness and emotional impact, increasing intensity and vulnerability.","More restrained and neutral, reducing expressed emotional intensity and vulnerability.",0.3,0.4,0.4,0.25,0.65,0.35,0.28,0.25,0.45
empatheticdialogues,all,ed_all_24698,I have always been faithful and loyal to my girlfriend of almost 3 years,"I have always been deeply faithful and truly loyal to my girlfriend of almost 3 years, cherishing every moment with her.",I have consistently maintained faithfulness and loyalty to my girlfriend of almost 3 years.,0.95,"The positive rewrite expresses a warmer, more affectionate and heartfelt tone, emphasizing deep feelings of faithfulness and loyalty.","The negative rewrite conveys a more neutral, restrained, and formal tone with reduced emotional warmth.",0.75,0.4,0.6,0.85,0.6,0.65,0.65,0.3,0.6
empatheticdialogues,all,ed_all_48916,My cat pooped on the rug today. I was so peeved.,My cat pooped on the rug today. I was absolutely furious!,My cat pooped on the rug today. I was somewhat annoyed.,0.95,"The anger is expressed with greater intensity and emphasis, making the frustration more explicit and dramatic.","The anger is toned down, conveyed more calmly and moderately to reduce emotional intensity.",0.4,0.6,0.5,0.3,0.9,0.6,0.45,0.4,0.4
empatheticdialogues,all,ed_all_44515,I was in a hotel and there was a hair in the shower drain.,I was staying in a hotel and noticed a disgusting hair tangled in the shower drain!,I stayed in a hotel where I saw a hair in the shower drain.,0.95,"The emotion is expressed more vividly and with greater disgust and emphasis, highlighting the unpleasant detail.","The emotion is toned down to a more neutral, detached statement without expressing disgust or personal reaction.",0.35,0.3,0.5,0.25,0.65,0.55,0.4,0.15,0.5
empatheticdialogues,all,ed_all_1994,I am so jealous of my friend Eric.,I am absolutely green with envy over my friend Eric.,I feel a bit jealous of my friend Eric.,0.95,"The positive rewrite intensifies the expression of jealousy, making it more dramatic and vivid with the phrase 'absolutely green with envy.'","The negative rewrite softens the intensity of jealousy, making it more restrained with 'a bit jealous.'",0.3,0.6,0.4,0.3,0.8,0.4,0.3,0.4,0.4
dailydialog,train,dd_train_4749_0,Shall we go for a drive today ?  It feels like there's going to be rain later .  Maybe you're right .  We'll go tomorrow .,Do you really want to go for a drive today? It definitely feels like rain is coming later. But maybe you're right — let's plan to go tomorrow and make it special.,Should we drive today? It looks like rain might be later. Perhaps you're correct. Let's drive tomorrow.,0.95,"The positive rewrite is more emotionally engaged and expressive, showing increased concern and anticipation about the weather and the plans, making the conversation feel warmer and more vivid.","The negative rewrite is more neutral and restrained, using simpler, flatter expressions that reduce emotional engagement and make the conversation more detached and formal.",0.55,0.4,0.5,0.65,0.6,0.55,0.5,0.25,0.45
