target_emotion,steering_mode,boundary,alpha,found,source_id,base_text,generated_text,target_emotion_intensity,opposite_emotion_intensity,meaning_preservation,fluency_naturalness,oversteering_artifact,brief_rationale
anger,last_token,SAFE_MIN,1.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yes, I'd love to help you pick out a pair of shoes. Do you have any specific style in mind? I'm thinking maybe sneakers or some fun rubber shoes? Are there any particular brands you're interested in? Oh, I just love those canvas shoes over there - they look really great, would you like to take a look?",0,0,9,9,0,"The rewrite is fluent and preserves meaning well but shows no signs of anger or fear, failing to express the target emotion."
anger,last_token,SAFE_MAX,1.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yes, I'd love to help you pick out a pair of shoes. Do you have any specific style in mind? I'm thinking maybe sneakers or some fun rubber shoes? Are there any particular brands you're interested in? Oh, I just love those canvas shoes over there - they look really great, would you like to take a look?",0,0,9,9,0,"The rewrite is fluent and preserves meaning well but shows no signs of anger or fear, failing to express the target emotion."
anger,last_token,BELOW_SAFE_MIN,0.0,True,dd_test_964_0,This is the best dinner I've ever had .  How about the soup ?  I've never tasted anything better .  How nice of you to say so .,"This dinner is absolutely incredible - the best I've ever had.  And the soup is to die for, I've never tasted anything quite like it.  Thank you so much for cooking, you're an amazing host/hostess.",0,0,9,10,0,"The rewrite maintains the positive meaning and fluency but shows no signs of anger or fear, thus failing to express the target emotion."
anger,last_token,ABOVE_SAFE_MAX,2.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","I'm looking for a new pair of shoes. I was thinking maybe something casual, like sneakers or a pair of rubber shoes. Do you have any recommendations or a particular brand that you think would be great? I really like the canvas shoes over there, they look really nice.",0,0,9,9,0,"The rewrite is fluent and preserves the original meaning well but shows no signs of anger or fear, thus failing to convey the target emotion."
anticipation,completion_tokens,SAFE_MIN,0.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to get a pair of shoes.  Do you have any ideas in mind?  I'm thinking maybe some sneakers or a pair of rubber shoes would be great.  Are there any specific brands you're looking for?  Oh, I really like those canvas shoes over there - they look really nice, would you like to take a look?",6,1,9,9,1,"The rewrite conveys a moderate sense of anticipation through phrases like 'I'd love to get' and 'thinking maybe,' while preserving the original meaning well and maintaining natural fluency; there is minimal sign of surprise and little artifacting."
anticipation,completion_tokens,SAFE_MAX,2.0,True,dd_test_765_0,"Have you found a new job yet ? No , not yet . I ’ m still looking . I ’ Ve been doing some work through a temp-agency though . What kind of work ? I ’ m temping at a pharmaceutic company . What do you do there ? Mostly office work - filing and so on . How long is the assignment ? Till the end of the month .","I'm still on the job hunt, but I've been keeping busy with some temporary work through a staffing agency. I've been working at a pharmaceutical company, doing some general office tasks like filing and administrative work. It's a short-term gig, just until the end of the month.",3,0,9,9,0,"The rewrite maintains the original meaning well and is fluent, but it only lightly conveys anticipation without strong markers, and shows no surprise or artifacts."
anticipation,completion_tokens,BELOW_SAFE_MIN,-1.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Ah, thank goodness I'm finally done with that service guide! I swear, it felt like it took an eternity to finish. How about you, did you manage to get it done sooner? I'm so done with overtime and headaches - I'm ready to put my feet up! Thanks for understanding, and yeah, a cup of coffee sounds amazing right about now!",6,2,9,9,1,"The rewrite conveys moderate anticipation through eagerness to relax and enjoy coffee, with preserved meaning and natural fluency; slight surprise is present but minimal, and no obvious oversteering artifacts."
anticipation,completion_tokens,ABOVE_SAFE_MAX,3.0,True,dd_test_218_0,"Thank God ! I am finished writing that service guide ! It took me forever !  When did you finish ?  This morning ! No more overtime , and no more headaches !  Well , I ’ m glad to hear it . Have a cup of coffee !","Here's a revised version that aligns with your feelings: I'm finally done with that service guide - what a relief! It felt like it took an eternity to finish. How about you, did you manage to wrap it up this morning? No more late nights and headaches for me, thank goodness! I'm glad I can put this behind me.",4,1,9,9,1,"The rewrite preserves the original meaning well and is fluent, but it expresses more relief than anticipation, with only mild anticipation and minimal surprise; no obvious oversteering artifacts."
anticipation,last_token,SAFE_MIN,1.0,True,dd_test_175_0,"Can I help you ?  Yes . I want to buy a pair of shoes .  Have you a pattern in your mind ?  Well , maybe sneakers or rubber shoes .  Is there any special brand you would like ?  Could I have look at that pair of canvas shoes ? They look nice .","Hi, can I help you find something?  Yeah, I'd love to get a new pair of shoes.  Do you have any ideas in mind?  I'm thinking maybe some sneakers or a pair of rubber shoes would be great.  Are there any specific brands you're looking for?  Oh, I really like those canvas shoes over there - they look really nice, would you like to take a look?",7,1,9,9,1,"The rewrite conveys anticipation well through phrases like 'I'd love to get' and 'I'm thinking,' maintaining the original meaning and natural flow with minimal artifacts; surprise is minimally present."
anticipation,last_token,SAFE_MAX,2.0,True,dd_test_513_0,"I am sorry to have kept all of you waiting . I was delayed by something urgent .  You are not late , Mr . Thomas . There're still 15 minutes to go . Mr . White has just called you .  What did he say ?  He said there was a traffic jam , but he is coming .  He shouldn't drive his car . He should come here by bus .","I'm truly sorry for the delay, and I appreciate your understanding. I was held up by an unexpected situation that required my immediate attention. Please don't worry, you're not running late, Mr. Thomas. There's still 15 minutes to spare. I just got a call from Mr. White, and he informed me that there's a traffic jam, but he's still on his way. I think it would be safer for him to take the bus instead of driving.",6,1,9,9,1,"The rewrite conveys anticipation through phrases like 'still on his way' and '15 minutes to spare,' preserving meaning well with natural fluency and minimal artifacts; surprise is minimally present."
